url,status,contentType,source,notes
"https://www.ctworld.org","200","text/html","seed","no matching file in docroot"
"https://www.ctworld.org/sitemap.htm","200","text/html","sitemap-seed","no matching file in docroot"
"https://www.ctworld.org/index.htm","200","text/html","link","no matching file in docroot"
"https://www.ctworld.org/index-gb.htm","200","text/html","link","no matching file in docroot"
"https://www.ctworld.org/english-96/html/index.html","200","text/html","link","no matching file in docroot"
"https://www.ctworld.org/jp/","200","text/html","link","no matching file in docroot"
"https://www.ctworld.org/chan/master.htm","200","text/html","link","no matching file in docroot"
"https://www.ctworld.org/turn/writings/chungtai/index.htm","200","text/html","link","no matching file in docroot"
"https://www.ctworld.org/turn/sutra/index.htm","200","text/html","link","no matching file in docroot"
"https://www.ctworld.org/turn/lecture/index.htm","200","text/html","link","no matching file in docroot"
"https://www.ctworld.org/turn/chan7/index.htm","200","text/html","link","no matching file in docroot"
"https://www.ctworld.org/turn/blossom/index.htm","200","text/html","link","no matching file in docroot"
"https://www.ctworld.org/turn/chan_talk/index.htm","200","text/html","link","no matching file in docroot"
"https://www.ctworld.org/turn/reply/index.htm","200","text/html","link","no matching file in docroot"
"https://www.ctworld.org/chan/eye.htm","200","text/html","link","no matching file in docroot"
"https://www.ctworld.org/abbot/abbot-1.htm","200","text/html","link","no matching file in docroot"
"https://www.ctworld.org/abbot/abbot-2.htm","200","text/html","link","no matching file in docroot"
"https://www.ctworld.org/chungtai/prinicple/index.htm","200","text/html","link","no matching file in docroot"
"https://www.ctworld.org/chungtai/building/index0.htm","200","text/html","link","no matching file in docroot"
"https://www.ctworld.org/activities/corporation/index.htm","200","text/html","link","no matching file in docroot"
"https://www.ctworld.org/chungtai/tour/tourIndex.htm","200","text/html","link","no matching file in docroot"
"https://www.ctworld.org/chungtai/plants/index.htm","200","text/html","link","no matching file in docroot"
"https://www.ctworld.org/story/index.htm","200","text/html","link","no matching file in docroot"
"https://www.ctworld.org/meditation/01_frame.htm","200","text/html","link","no matching file in docroot"
"https://www.ctworld.org/chan/chan7/index.htm","200","text/html","link","no matching file in docroot"
"https://www.ctworld.org/chan/chan7/index02.htm","200","text/html","link","no matching file in docroot"
"https://www.ctworld.org/chan/chan7/index03.htm","200","text/html","link","no matching file in docroot"
"https://www.ctworld.org/chan/chan7/index04.htm","200","text/html","link","no matching file in docroot"
"https://www.ctworld.org/chan/chan7/index05.htm","200","text/html","link","no matching file in docroot"
"https://www.ctworld.org/chan/chan7/index06.htm","200","text/html","link","no matching file in docroot"
"https://www.ctworld.org/chan/chan7/index07.htm","200","text/html","link","no matching file in docroot"
"https://www.ctworld.org/history/index.htm","200","text/html","link","no matching file in docroot"
"https://www.ctworld.org/chan_master/index.htm","200","text/html","link","no matching file in docroot"
"https://www.ctworld.org/dharma-teachings/index.htm","200","text/html","link","no matching file in docroot"
"https://www.ctworld.org/chan_koans/index.htm","200","text/html","link","no matching file in docroot"
"https://www.ctworld.org/sutra_stories/index.htm","200","text/html","link","no matching file in docroot"
"https://www.ctworld.org/buddhism/notes/index.htm","200","text/html","link","no matching file in docroot"
"https://www.ctworld.org/activities/info/index.htm","200","text/html","link","no matching file in docroot"
"https://www.ctworld.org/Buddhist%20e-Books/index.html","200","text/html","link","no matching file in docroot"
"https://www.ctworld.org/realtime/index.html","200","text/html","link","no matching file in docroot"
"https://www.ctworld.org/dialogue/index.htm","200","text/html","link","no matching file in docroot"
"https://www.ctworld.org/activities/relieve/index.htm","200","text/html","link","no matching file in docroot"
"https://www.ctworld.org/disciple/book-f/index.html","200","text/html","link","no matching file in docroot"
"https://www.ctworld.org/disciple/mind/index01.htm","200","text/html","link","no matching file in docroot"
"https://www.ctworld.org/disciple/feeling/index.htm","200","text/html","link","no matching file in docroot"
"https://www.ctworld.org/disciple/apocalypse/index.htm","200","text/html","link","no matching file in docroot"
"https://www.ctworld.org/monthly/index12.htm","200","text/html","link","no matching file in docroot"
"https://www.ctworld.org/epaper/index.htm","200","text/html","link","no matching file in docroot"
"https://www.ctworld.org/buddaart/index.htm","200","text/html","link","no matching file in docroot"
"https://www.ctworld.org/arts/vegetarian/index.htm","200","text/html","link","no matching file in docroot"
